token;x;y
"effective";0.9359744336489485;0.4273008557559546
"word";0.9519871132478117;0.40885173827598975
"library";0.9011643022898113;0.3768474721452414
"rather";0.925529876088723;0.427465434704448
"while";0.937179676392615;0.38960906155052444
"two";0.9201102038769101;0.4047378774083392
"magnitude";0.9189175585594721;0.4044653141594244
"space";0.9195639767332545;0.4049129348247949
"a";0.9193402773168895;0.40432508675675116
"algorithms";0.87256015121319;0.39898672007857844
"multiply";0.8675505844532623;0.35197401001154455
"does";0.9066202454423435;0.38183284519023053
"time";0.8258379900844122;0.334164903554165
"only";0.9152514707649357;0.41098446181337545
"nlp";0.9392797021713836;0.44833627300221773
"thus";0.8549058387274556;0.39637907288254676
"processing";0.8544830926554361;0.3770376690506739
"measure";0.9176055876558742;0.40317561158893744
"likely";0.9004740196583364;0.37161789573232895
"information";0.912148412542483;0.402308742323188
"than";0.9298059961521599;0.39549400463649026
"form";0.8983886797382101;0.4063965686268974
"which";0.9478976624550081;0.40590791487179884
"quadratic";0.8531895127168694;0.39055604124545723
"opposite";0.8843509565733443;0.3918237271268492
"vectors";0.9182726062728938;0.4038342826714943
"proper";0.8834127194743485;0.3969984121430662
"reduced";0.9289821445479247;0.39310476729402516
"technique";0.8849965915539847;0.3880528487207604
"absolute";0.9510940522457446;0.4001407518140422
"used";0.9142931729828718;0.4038174396583518
"appropriate";0.8896650545924762;0.44621615568533446
"dot";0.916530714085471;0.4032003411581192
"occurred";0.8378579872673104;0.4287840022358877
"though";0.8836399594980652;0.4728606924055059
"euclidean";0.8997697549871407;0.412983244280977
"documents";0.9792290436504277;0.4022459122813309
"real";0.9824671680398432;0.4095028944552767
"by";0.8998140923552671;0.4120289436745441
"see";0.9737333836375205;0.44316511426576377
"triangular";0.9198506220145806;0.42535221719959493
"0";0.9205383720674589;0.40438022729276
"sparse";0.8211445175260764;0.3468127126768513
"deep";0.9164372162592951;0.37813929261445617
"similarities";0.8886987007630499;0.4320559983872999
"follows";0.922548551665403;0.40147236866417696
"ochiai";0.7697159192502043;0.3952654001291924
"to";0.9144011926697108;0.4065328404164488
"clusters";0.8815692608291824;0.4095830276433392
"3";0.848756324022889;0.3944529994966467
"the";0.9199593160006364;0.4043736092629292
"sed";0.8598337414501749;0.4378627409741568
"assigned";0.9401877932777246;0.38984094080219606
"analysis";0.8631001743455676;0.3968384197906268
"proxy";0.9031835618198468;0.44840646475719953
"always";0.9228650460812787;0.4275366069627288
"congruence";0.9429283664225295;0.4083460640977942
"names";0.9395625506324107;0.38250551361241275
"where";0.8654667159775948;0.42085933814727694
"depend";0.9128147197568043;0.4235479084628534
"calculating";0.8770512749183547;0.4836510916811734
"calculated";0.9506625071292837;0.35395336423483603
"often";0.9372335739325881;0.3819174415342396
"their";0.9157008711275033;0.40368438764670034
"19";0.8769795050356932;0.3845515216973372
"through";0.9467237225134923;0.4915446405326216
"divergence";0.9422779779273487;0.3908890049731732
"complexity";0.9223690926346833;0.4020408533314883
"important";0.8827245193860442;0.3936747170699276
"notably";0.9166939155696032;0.4058719823724805
"required";0.8981258560457943;0.3987525699860977
"normal";0.9612556773625096;0.39260993320715276
"negative";0.893474201176998;0.41752316608912715
"product";0.9167996728674359;0.40504559936832213
"then";0.9207422951327962;0.4048581942201106
"frequency";0.922662805123889;0.3356442130207973
"play";0.8720798425538389;0.4367057250838981
"some";0.8946082604239655;0.39422094946999736
"makes";0.8909521797675947;0.48484737035505576
"in";0.9184965499000085;0.40453246824456657
"for";0.9227711080036479;0.40435459806591956
"natural";0.9405556105987338;0.40653767152376075
"completely";0.9151585418772242;0.38507444736368246
"20";0.9652533571630941;0.3883083659559399
"yield";0.9241165569502311;0.3902236503204514
"defined";0.9488496240965631;0.39750932401640265
"levenshtein";0.8156052526561604;0.34685430441905896
"reflects";0.9154664450586714;0.4059074040433928
"or";0.9083430590698065;0.4107736560648707
"idea";0.9048336386065571;0.39425678807171766
"yielding";0.9191616605637494;0.40492275985928594
"are";0.9175890347994415;0.40947909858462267
"normalisation";0.9071985141446401;0.4091356180725726
"represented";0.859178969001549;0.37454205831381115
"world";0.8683490325478778;0.3686497961470256
"jensen";0.8981479052432482;0.3998620638086446
"followed";0.8696842697177722;0.37064409705765267
"furthermore";0.9333626657097154;0.4085254344856885
"also";0.9041961762096632;0.40011299834792136
"soft";0.9186874565477732;0.4037251398241911
"syntactic";0.9089737005456682;0.40351854190291897
"most";0.9665457248253685;0.3735814101466296
"zero";0.9039887878040297;0.4024656588828267
"component";0.8730272388242828;0.4540997527662811
"terms";0.9295988031048219;0.3550900654444148
"dimensionality";0.9617070993219947;0.39969519445305746
"over";0.8928062128511274;0.4199590953151924
"low";0.9408478012462991;0.38769620257192305
"cannot";0.9530760523595286;0.4282365628455924
"each";0.9195801422642762;0.4051191504941033
"potentially";0.9573351400217901;0.33353032637827906
"measures";0.8721890353160621;0.40382189494107407
"metrics";0.9201056792101836;0.452980583664196
"many";0.9284881256487042;0.4740953549877711
"transformation";0.9034030639132776;0.4068322845037456
"vsm";0.913239858315222;0.4023754755858671
"coordinates";0.9375737605653855;0.48005778678152394
"example";0.9161397087389034;0.401063126300739
"using";0.9712581112436576;0.43147695395178765
"semantics";0.9111157645420395;0.4647383138409504
"s";0.9370315334252322;0.3838620457339596
"lengths";0.9041677374128609;0.4057157909886708
"once";0.924766720740098;0.4020800845448674
"it";0.9337715215198353;0.39465297169993857
"dimensions";0.9448162756953606;0.44694983466855037
"text";0.8731964807700492;0.4328334291666116
"positive";0.8372228689987794;0.3950066464814175
"non";0.8751055266243548;0.419368472410018
"model";0.8997712881424064;0.39785623818539956
"help";0.8747274210152008;0.3859321106770205
"normalised";0.9210411638686431;0.39724589792032894
"any";0.9180800770915307;0.4040525437405295
"more";0.9045621304205858;0.38766547043916394
"recent";0.9356563760199458;0.34195632611239274
"advantage";0.9304119154749662;0.411954224555349
"application";0.8431783090960955;0.38448996724379264
"trigonometric";0.9173425063987634;0.399561366273796
"avoids";0.900610370449018;0.39687898657953913
"2";0.9490203862692816;0.411360874641637
"obtained";0.8777676505010674;0.4489366531494702
"14";0.9227771980725159;0.4011180352548603
"intuitive";0.954872479012582;0.37343054469377424
"l2";0.9401651540479791;0.4425970814246445
"metric";0.9965228991210637;0.43005748200772453
"between";0.9167152068706339;0.4037433331741582
"its";0.9280503585390256;0.4483709873140317
"that";0.9180472015877958;0.40307058980330723
"they";0.8913804471455417;0.4135611225806584
"semantically";0.9069348489247647;0.4089865070319416
"shown";0.9148956279216445;0.4007801217985657
"considers";0.9129993945767938;0.4006957403970911
"considering";0.8697856421178236;0.4078024780097972
"applied";0.8560176043536241;0.39338871443106416
"available";0.853922820327923;0.4303754028112379
"but";0.9465091237927837;0.3561339894253002
"techniques";0.8334372092702788;0.38361548658244643
"occurrences";0.9638772703555151;0.3778487250998624
"considered";0.9158212269277414;0.359019746696638
"belongs";0.9027827377281815;0.3870085151769633
"such";0.928941860093323;0.4047164572707329
"indicate";0.9538269335076579;0.34277109901054537
"end";0.8927859263179592;0.38576880560255755
"range";0.9693023007340194;0.40032848851542174
"pairs";0.8214119864942675;0.4070916302177014
"noteworthy";0.8882682991016748;0.34665327498787285
"av";0.9095895960773985;0.4137307351788821
"be";0.921913794068579;0.4047000298987861
"numbers";0.8974911101162459;0.4004990766739343
"just";0.8706489264045224;0.3344285954161828
"tucker";0.8853274226828646;0.3980605249687288
"reduction";0.9636420263062847;0.38258508816209147
"constant";0.9038212386234964;0.4302603972797079
"concept";0.9194742028440714;0.40230677089705225
"same";0.9142913072198446;0.40315833421040004
"first";0.8896129557755821;0.358191203034096
